Reference Brand,Reference Product,Search Query,Competitor Brand,Reference Product Description
Taylor Stitch,The Jack Shirt,men's oxford shirt,Buck Mason,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Jack Shirt,men's oxford shirt,Bonobos,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Jack Shirt,men's oxford shirt,Everlane,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Jack Shirt,men's oxford shirt,J.Crew,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Jack Shirt,men's oxford shirt,Alex Mill,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Jack Shirt,men's oxford shirt,Frank & Oak,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Jack Shirt,men's oxford shirt,Todd Snyder,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Jack Shirt,men's oxford shirt,Mizzen+Main,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Jack Shirt,men's oxford shirt,Charles Tyrwhitt,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Jack Shirt,men's oxford shirt,Taylor Stitch,"The Oxford button-down is a stylish wardrobe staple with endless versatility, so it’s no surprise that our signature Oxford, The Jack, has become a mainstay of our roster. Its burly 100% organic cotton basket weave and double-needle felled construction make it sturdy enough to stand up to the roughest workday, while peerless tailoring and a clean, pleatless design means it’s snazzy enough for your next night on the town. Soft to the touch but built for a decade of solid wear. Oxford is a perfectly versatile fabric that looks just as good pressed as it does pulled off the back of a chair. While traditional cotton uses 25% of the world's pesticides, our organic cotton doesn't use a drop. A better shirt, Responsibly Built For The Long Haul. 6-oz. 100% organic cotton. Made from our burly rugby oxford. Our signature Jack button-down collar. Garment dyed and washed for a soft, lived-in feel. Double-needle felled construction throughout. Natural buttons. Lock-stitched buttons and buttonholes. Shorter length to be worn untucked. Tailored fit and high armhole. No pleats for easy ironing and clean lines. Wash cold and tumble dry low. Model is 6'0"", wearing a Medium."
Taylor Stitch,The Chore Pant,men's work pants,Carhartt WIP,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Dickies,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Flint and Tinder,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Alex Mill,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Levi's,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Bonobos,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Patagonia,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Outerknown,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Everlane,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Uniqlo,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Chore Pant,men's work pants,Taylor Stitch,The Chore Pant in Aged Penny Chipped Canvas from Taylor Stitch 12.5-oz. 100% organic cotton canvas. 6-oz. 100% organic cotton SF Map pocketing. Stone washed for a worn in look and feel. Angled front slash pockets for easy entry. Two half-lined back patch pockets. Signature double-knee reinforced construction. Pen sleeve on both front panels. Front and back pockets bar-tacked at stress points. Button fly closure. Double-needle construction throughout. Wash cold and tumble dry low. Made in China.
Taylor Stitch,The Democratic Chino,men's chinos,Bonobos,"Originally issued to American soldiers during WWII, the first military chinos were celebrated for their comfort, versatility, and impressive ruggedness. They proved so popular, in fact, that soldiers held onto their well-worn pairs even after discharge, and as more and more civilians took notice, the style became a fixture of garages and workshops as well as college campuses and city streets all across the country. Featuring 100% Responsible materials and an updated silhouette, The Foundation Pant is both a reinvention of our earlier chinos and an elevated reimagining of the all-purpose originals, built to help you start your day on solid ground. Because it's been garment dyed and washed, it has the character of a well-loved vintage piece, and it'll continue to pick up a ton of nuance with wear. Cool herringbone accents at the waistband and the pockets serve as a nod to the style's military origins. SPECIFICATIONS Classic medium rise, tailored fit, straight through the thigh with a slight taper from knee to leg opening. Available in 32"" inseam. 8-oz. 100% organic cotton. 5-oz. 100% organic cotton herringbone pocketing. Garment dyed and washed for a vintage feel. Front slash pockets allow easy entry into pockets. Low-profile welt coin pocket inset at waistband. Two back welt pockets. 4-hole vintage military style button at waistband. YKK zipper fly. Bound fly and outseam. Wash cold and tumble dry low. Made in China. Model is 6'1"", wearing a 32."
Taylor Stitch,The Democratic Chino,men's chinos,Dockers,"Originally issued to American soldiers during WWII, the first military chinos were celebrated for their comfort, versatility, and impressive ruggedness. They proved so popular, in fact, that soldiers held onto their well-worn pairs even after discharge, and as more and more civilians took notice, the style became a fixture of garages and workshops as well as college campuses and city streets all across the country. Featuring 100% Responsible materials and an updated silhouette, The Foundation Pant is both a reinvention of our earlier chinos and an elevated reimagining of the all-purpose originals, built to help you start your day on solid ground. Because it's been garment dyed and washed, it has the character of a well-loved vintage piece, and it'll continue to pick up a ton of nuance with wear. Cool herringbone accents at the waistband and the pockets serve as a nod to the style's military origins. SPECIFICATIONS Classic medium rise, tailored fit, straight through the thigh with a slight taper from knee to leg opening. Available in 32"" inseam. 8-oz. 100% organic cotton. 5-oz. 100% organic cotton herringbone pocketing. Garment dyed and washed for a vintage feel. Front slash pockets allow easy entry into pockets. Low-profile welt coin pocket inset at waistband. Two back welt pockets. 4-hole vintage military style button at waistband. YKK zipper fly. Bound fly and outseam. Wash cold and tumble dry low. Made in China. Model is 6'1"", wearing a 32."
Taylor Stitch,The Democratic Chino,men's chinos,Banana Republic,"Originally issued to American soldiers during WWII, the first military chinos were celebrated for their comfort, versatility, and impressive ruggedness. They proved so popular, in fact, that soldiers held onto their well-worn pairs even after discharge, and as more and more civilians took notice, the style became a fixture of garages and workshops as well as college campuses and city streets all across the country. Featuring 100% Responsible materials and an updated silhouette, The Foundation Pant is both a reinvention of our earlier chinos and an elevated reimagining of the all-purpose originals, built to help you start your day on solid ground. Because it's been garment dyed and washed, it has the character of a well-loved vintage piece, and it'll continue to pick up a ton of nuance with wear. Cool herringbone accents at the waistband and the pockets serve as a nod to the style's military origins. SPECIFICATIONS Classic medium rise, tailored fit, straight through the thigh with a slight taper from knee to leg opening. Available in 32"" inseam. 8-oz. 100% organic cotton. 5-oz. 100% organic cotton herringbone pocketing. Garment dyed and washed for a vintage feel. Front slash pockets allow easy entry into pockets. Low-profile welt coin pocket inset at waistband. Two back welt pockets. 4-hole vintage military style button at waistband. YKK zipper fly. Bound fly and outseam. Wash cold and tumble dry low. Made in China. Model is 6'1"", wearing a 32."
Taylor Stitch,The Democratic Chino,men's chinos,J.Crew,"Originally issued to American soldiers during WWII, the first military chinos were celebrated for their comfort, versatility, and impressive ruggedness. They proved so popular, in fact, that soldiers held onto their well-worn pairs even after discharge, and as more and more civilians took notice, the style became a fixture of garages and workshops as well as college campuses and city streets all across the country. Featuring 100% Responsible materials and an updated silhouette, The Foundation Pant is both a reinvention of our earlier chinos and an elevated reimagining of the all-purpose originals, built to help you start your day on solid ground. Because it's been garment dyed and washed, it has the character of a well-loved vintage piece, and it'll continue to pick up a ton of nuance with wear. Cool herringbone accents at the waistband and the pockets serve as a nod to the style's military origins. SPECIFICATIONS Classic medium rise, tailored fit, straight through the thigh with a slight taper from knee to leg opening. Available in 32"" inseam. 8-oz. 100% organic cotton. 5-oz. 100% organic cotton herringbone pocketing. Garment dyed and washed for a vintage feel. Front slash pockets allow easy entry into pockets. Low-profile welt coin pocket inset at waistband. Two back welt pockets. 4-hole vintage military style button at waistband. YKK zipper fly. Bound fly and outseam. Wash cold and tumble dry low. Made in China. Model is 6'1"", wearing a 32."
Taylor Stitch,The Democratic Chino,men's chinos,Everlane,"Originally issued to American soldiers during WWII, the first military chinos were celebrated for their comfort, versatility, and impressive ruggedness. They proved so popular, in fact, that soldiers held onto their well-worn pairs even after discharge, and as more and more civilians took notice, the style became a fixture of garages and workshops as well as college campuses and city streets all across the country. Featuring 100% Responsible materials and an updated silhouette, The Foundation Pant is both a reinvention of our earlier chinos and an elevated reimagining of the all-purpose originals, built to help you start your day on solid ground. Because it's been garment dyed and washed, it has the character of a well-loved vintage piece, and it'll continue to pick up a ton of nuance with wear. Cool herringbone accents at the waistband and the pockets serve as a nod to the style's military origins. SPECIFICATIONS Classic medium rise, tailored fit, straight through the thigh with a slight taper from knee to leg opening. Available in 32"" inseam. 8-oz. 100% organic cotton. 5-oz. 100% organic cotton herringbone pocketing. Garment dyed and washed for a vintage feel. Front slash pockets allow easy entry into pockets. Low-profile welt coin pocket inset at waistband. Two back welt pockets. 4-hole vintage military style button at waistband. YKK zipper fly. Bound fly and outseam. Wash cold and tumble dry low. Made in China. Model is 6'1"", wearing a 32."
Taylor Stitch,The Democratic Chino,men's chinos,Uniqlo,"Originally issued to American soldiers during WWII, the first military chinos were celebrated for their comfort, versatility, and impressive ruggedness. They proved so popular, in fact, that soldiers held onto their well-worn pairs even after discharge, and as more and more civilians took notice, the style became a fixture of garages and workshops as well as college campuses and city streets all across the country. Featuring 100% Responsible materials and an updated silhouette, The Foundation Pant is both a reinvention of our earlier chinos and an elevated reimagining of the all-purpose originals, built to help you start your day on solid ground. Because it's been garment dyed and washed, it has the character of a well-loved vintage piece, and it'll continue to pick up a ton of nuance with wear. Cool herringbone accents at the waistband and the pockets serve as a nod to the style's military origins. SPECIFICATIONS Classic medium rise, tailored fit, straight through the thigh with a slight taper from knee to leg opening. Available in 32"" inseam. 8-oz. 100% organic cotton. 5-oz. 100% organic cotton herringbone pocketing. Garment dyed and washed for a vintage feel. Front slash pockets allow easy entry into pockets. Low-profile welt coin pocket inset at waistband. Two back welt pockets. 4-hole vintage military style button at waistband. YKK zipper fly. Bound fly and outseam. Wash cold and tumble dry low. Made in China. Model is 6'1"", wearing a 32."
Taylor Stitch,The Democratic Chino,men's chinos,Club Monaco,"Originally issued to American soldiers during WWII, the first military chinos were celebrated for their comfort, versatility, and impressive ruggedness. They proved so popular, in fact, that soldiers held onto their well-worn pairs even after discharge, and as more and more civilians took notice, the style became a fixture of garages and workshops as well as college campuses and city streets all across the country. Featuring 100% Responsible materials and an updated silhouette, The Foundation Pant is both a reinvention of our earlier chinos and an elevated reimagining of the all-purpose originals, built to help you start your day on solid ground. Because it's been garment dyed and washed, it has the character of a well-loved vintage piece, and it'll continue to pick up a ton of nuance with wear. Cool herringbone accents at the waistband and the pockets serve as a nod to the style's military origins. SPECIFICATIONS Classic medium rise, tailored fit, straight through the thigh with a slight taper from knee to leg opening. Available in 32"" inseam. 8-oz. 100% organic cotton. 5-oz. 100% organic cotton herringbone pocketing. Garment dyed and washed for a vintage feel. Front slash pockets allow easy entry into pockets. Low-profile welt coin pocket inset at waistband. Two back welt pockets. 4-hole vintage military style button at waistband. YKK zipper fly. Bound fly and outseam. Wash cold and tumble dry low. Made in China. Model is 6'1"", wearing a 32."
